,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
81,JOE,The St. Joe Company,3.07B,0.90%,140598,389.29M
82,TCN,Tricon Residential Inc.,3.05B,-,1426355,849.78M
83,DBRG,"DigitalBridge Group, Inc.",3.03B,-0.27%,1679856,821.38M
84,SITC,SITE Centers Corp.,2.94B,0.64%,2438406,546.28M
85,BNL,"Broadstone Net Lease, Inc.",2.80B,1.09%,2224458,442.89M
86,HASI,"Hannon Armstrong Sustainable Infrastructure Capital, Inc.",2.77B,0.41%,681758,319.87M
87,CDP,COPT Defense Properties,2.76B,0.29%,1302143,684.98M
88,ESRT,"Empire State Realty Trust, Inc.",2.74B,1.66%,849685,739.57M
89,IIPR,"Innovative Industrial Properties, Inc.",2.72B,-0.19%,209687,309.51M
90,OUT,Outfront Media Inc.,2.64B,-1.24%,1222413,1.82B
91,LXP,LXP Industrial Trust,2.64B,0.56%,2114704,340.50M
92,HIW,"Highwoods Properties, Inc.",2.63B,0.16%,411339,834.00M
93,DEI,"Douglas Emmett, Inc.",2.61B,1.78%,1615445,1.02B
94,VTMX,"Corporación Inmobiliaria Vesta, S.A.B. de C.V.",2.60B,0.68%,262137,214.50M
95,NMRK,"Newmark Group, Inc.",2.58B,-1.58%,1781412,2.47B
96,NHI,"National Health Investors, Inc.",2.58B,1.09%,159986,319.84M
97,ESBA,"Empire State Realty OP, L.P.",2.53B,-0.10%,619,739.57M
98,MPW,"Medical Properties Trust, Inc.",2.52B,4.76%,15147391,871.80M
99,ABR,"Arbor Realty Trust, Inc.",2.39B,2.21%,4221360,721.01M
100,SHO,"Sunstone Hotel Investors, Inc.",2.25B,-0.63%,1325087,986.48M
101,CWK,Cushman & Wakefield plc,2.21B,0.21%,2916753,9.49B
102,FCPT,"Four Corners Property Trust, Inc.",2.19B,3.32%,978083,250.61M
103,UE,Urban Edge Properties,2.07B,0.06%,630835,416.92M
104,EQC,Equity Commonwealth,2.02B,-0.11%,778632,60.52M
105,DRH,DiamondRock Hospitality Company,1.98B,-,2378187,1.07B
106,PEB,Pebblebrook Hotel Trust,1.89B,-1.08%,1338124,1.42B
107,AKR,Acadia Realty Trust,1.83B,-0.74%,2947569,338.69M
108,FOR,Forestar Group Inc.,1.81B,-0.41%,158347,1.53B
109,OPEN,Opendoor Technologies Inc.,1.80B,1.52%,29719611,6.95B
110,EXPI,"eXp World Holdings, Inc.",1.72B,-9.92%,5050732,4.28B
111,GNL,"Global Net Lease, Inc.",1.71B,2.72%,1537935,515.07M
112,IVT,InvenTrust Properties Corp.,1.68B,0.16%,279574,258.68M
113,CXW,"CoreCivic, Inc.",1.64B,1.85%,1461023,1.90B
114,AAT,"American Assets Trust, Inc.",1.62B,0.76%,531094,441.16M
115,ROIC,Retail Opportunity Investments Corp.,1.58B,0.80%,2050635,327.73M
116,XHR,"Xenia Hotels & Resorts, Inc.",1.57B,-0.54%,2064636,1.03B
117,ARI,"Apollo Commercial Real Estate Finance, Inc.",1.56B,1.55%,1433752,344.59M
118,NXRT,"NexPoint Residential Trust, Inc.",1.56B,0.23%,177448,277.53M
119,JBGS,JBG SMITH Properties,1.53B,0.30%,2621096,604.20M
120,RC,Ready Capital Corporation,1.51B,2.19%,1576630,630.58M
121,VRE,"Veris Residential, Inc.",1.49B,1.16%,433908,279.86M
122,UNIT,Uniti Group Inc.,1.48B,-0.32%,2587070,1.15B
123,GTY,Getty Realty Corp.,1.43B,2.38%,332348,186.42M
124,SAFE,Safehold Inc.,1.40B,-0.91%,492895,352.58M
125,LTC,"LTC Properties, Inc.",1.38B,0.47%,239638,197.24M
