,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
86,SBSW,Sibanye Stillwater Limited,3.25B,-0.88%,6980391,8.13B
87,IOSP,Innospec Inc.,3.05B,-0.49%,347609,1.95B
88,OR,Osisko Gold Royalties Ltd,2.94B,0.63%,1382810,185.95M
89,CSTM,Constellium SE,2.91B,-0.05%,417738,8.04B
90,MEOH,Methanex Corporation,2.88B,0.82%,133051,3.72B
91,SXT,Sensient Technologies Corporation,2.88B,1.49%,493305,1.46B
92,HCC,"Warrior Met Coal, Inc.",2.81B,1.38%,1237655,1.68B
93,TFPM,Triple Flag Precious Metals Corp.,2.74B,-0.67%,190707,204.02M
94,HL,Hecla Mining Company,2.70B,0.93%,6321476,720.23M
95,MTRN,Materion Corporation,2.68B,-0.30%,101718,1.67B
96,EGO,Eldorado Gold Corporation,2.63B,2.04%,1550873,1.01B
97,SLVM,Sylvamo Corporation,2.55B,-6.57%,826472,3.72B
98,TROX,Tronox Holdings plc,2.54B,-0.55%,949877,2.85B
99,HBM,Hudbay Minerals Inc.,2.37B,2.97%,3300221,1.69B
100,MTX,Minerals Technologies Inc.,2.35B,0.99%,109317,2.17B
101,MP,MP Materials Corp.,2.26B,0.65%,2572364,253.45M
102,TGLS,Tecnoglass Inc.,2.14B,0.75%,295499,833.27M
103,SCL,Stepan Company,1.93B,1.49%,84403,2.33B
104,ERO,Ero Copper Corp.,1.88B,4.44%,464568,427.48M
105,USLM,"United States Lime & Minerals, Inc.",1.68B,-0.92%,79080,281.33M
106,EQX,Equinox Gold Corp.,1.62B,4.62%,2985359,1.09B
107,NGVT,Ingevity Corporation,1.61B,2.07%,181849,1.69B
108,SGML,Sigma Lithium Corporation,1.56B,-9.19%,2617786,129.93M
109,HWKN,"Hawkins, Inc.",1.56B,2.26%,1130167,924.29M
110,AG,First Majestic Silver Corp.,1.56B,4.44%,9109901,573.80M
111,IAG,IAMGOLD Corporation,1.53B,0.33%,9513495,987.10M
112,SAND,Sandstorm Gold Ltd.,1.45B,2.86%,2837102,179.64M
113,WS,"Worthington Steel, Inc.",1.40B,-0.69%,235064,-
114,GPRE,Green Plains Inc.,1.30B,0.25%,1344557,3.30B
115,KRO,"Kronos Worldwide, Inc.",1.29B,0.54%,297199,1.67B
116,OEC,Orion Engineered Carbons S.A.,1.29B,1.70%,391276,1.89B
117,KALU,Kaiser Aluminum Corporation,1.23B,1.57%,961761,3.09B
118,CDE,"Coeur Mining, Inc.",1.22B,2.84%,10136096,821.21M
119,CGAU,Centerra Gold Inc.,1.22B,-0.18%,286937,1.09B
120,ORLA,Orla Mining Ltd.,1.18B,-0.54%,3474177,227.46M
121,NGD,New Gold Inc.,1.16B,-0.60%,24870978,786.50M
122,SA,Seabridge Gold Inc.,1.12B,0.68%,231371,-
123,KOP,Koppers Holdings Inc.,1.11B,0.49%,108984,2.15B
124,CENX,Century Aluminum Company,1.09B,2.29%,2864733,2.20B
125,ECVT,Ecovyst Inc.,1.05B,2.00%,771422,691.12M
126,FSM,Fortuna Silver Mines Inc.,1.04B,2.08%,5196794,842.43M
127,LOMA,Loma Negra Compañía Industrial Argentina SA,998.52M,1.76%,246378,822.75M
128,LAC,Lithium Americas Corp.,973.78M,8.01%,11755745,-
129,NEXA,Nexa Resources S.A.,957.53M,0.28%,31110,2.57B
130,MATV,"Mativ Holdings, Inc.",952.42M,1.94%,524438,2.03B
131,MAG,MAG Silver Corp.,947.11M,2.19%,862162,-
132,MTUS,Metallus Inc,937.50M,1.62%,3157006,1.36B
133,SILV,SilverCrest Metals Inc.,930.65M,6.67%,2595086,245.13M
134,PRM,"Perimeter Solutions, SA",905.01M,0.64%,760655,322.11M
135,SXC,"SunCoke Energy, Inc.",903.95M,-0.83%,1688947,2.06B
136,NG,NovaGold Resources Inc.,866.02M,6.56%,3829527,-
137,METCB,"Ramaco Resources, Inc.",841.38M,-2.23%,53281,626.02M
138,METC,"Ramaco Resources, Inc.",839.07M,0.48%,2427566,693.52M
139,SSRM,SSR Mining Inc.,830.10M,-2.93%,7891206,1.43B
140,GSM,Ferroglobe PLC,811.59M,2.76%,1883989,1.65B
141,LAAC,Lithium Americas (Argentina) Corp.,805.71M,-0.99%,1348833,-
142,ASTL,Algoma Steel Group Inc.,800.04M,1.70%,482602,2.14B
143,WLKP,Westlake Chemical Partners LP,797.74M,0.62%,16746,1.19B
144,CMP,"Compass Minerals International, Inc.",789.87M,-1.67%,739794,1.19B
145,REX,REX American Resources Corporation,787.49M,2.00%,142160,845.94M
146,BIOX,Bioceres Crop Solutions Corp.,775.90M,-0.62%,17294,450.32M
147,ZEUS,"Olympic Steel, Inc.",726.06M,1.64%,384437,2.16B
148,NFGC,New Found Gold Corp.,697.94M,-1.89%,203584,-
149,DRD,DRDGOLD Limited,695.23M,0.25%,239350,16.85M
150,ASIX,AdvanSix Inc.,692.61M,1.35%,241303,1.53B
151,UAN,"CVR Partners, LP",686.39M,0.09%,24158,681.48M
152,CLW,Clearwater Paper Corporation,671.88M,0.54%,543531,2.08B
153,LVRO,Lavoro Limited,647.17M,-1.46%,1799,1.90B
154,MERC,Mercer International Inc.,611.36M,0.65%,381775,1.99B
155,CPAC,Cementos Pacasmayo S.A.A.,564.24M,-0.31%,1301,525.63M
156,TGB,Taseko Mines Limited,548.01M,2.69%,6473505,394.72M
157,GATO,"Gatos Silver, Inc.",534.77M,4.88%,213452,-
158,HDSN,"Hudson Technologies, Inc.",533.74M,1.04%,536611,289.03M
159,TMC,TMC the metals company Inc.,523.89M,-2.34%,1383619,-
160,LXU,"LSB Industries, Inc.",522.65M,4.75%,595511,593.71M
161,ODC,Oil-Dri Corporation of America,510.09M,0.99%,19196,429.92M
162,EXK,Endeavour Silver Corp.,501.18M,3.72%,9017148,205.46M
163,LZM,Lifezone Metals Limited,496.53M,-6.78%,25967,3.99M
164,SVM,Silvercorp Metals Inc.,494.44M,0.71%,2002987,206.65M
165,LWLG,"Lightwave Logic, Inc.",473.16M,3.02%,922690,40.50K
166,IAUX,i-80 Gold Corp.,472.08M,-,3315679,54.91M
167,ARMN,Aris Mining Corporation,454.11M,-0.90%,226291,447.67M
168,MUX,McEwen Mining Inc.,417.17M,1.65%,483953,135.79M
169,VHI,"Valhi, Inc.",409.62M,1.93%,12604,1.98B
170,SKE,Skeena Resources Limited,399.93M,0.91%,125699,-
171,IPX,IperionX Limited,306.30M,-0.14%,18160,-
172,AVD,American Vanguard Corporation,304.47M,21.81%,942845,567.17M
173,FF,FutureFuel Corp.,301.09M,2.62%,1978035,368.25M
174,GROY,Gold Royalty Corp.,284.89M,1.52%,511192,2.61M
175,MTA,Metalla Royalty & Streaming Ltd.,282.60M,3.28%,1213911,2.91M
176,VZLA,Vizsla Silver Corp.,275.77M,5.88%,420271,-
177,GAU,Galiano Gold Inc.,270.26M,0.84%,684845,-
178,RYAM,Rayonier Advanced Materials Inc.,266.82M,0.98%,397366,1.64B
179,PLL,Piedmont Lithium Inc.,256.92M,0.56%,2072487,39.82M
180,WRN,Western Copper and Gold Corporation,256.20M,1.00%,305767,-
181,PPTA,Perpetua Resources Corp.,253.06M,1.27%,291962,-
182,IPI,"Intrepid Potash, Inc.",248.89M,4.65%,147043,279.08M
183,IONR,ioneer Ltd,237.87M,-0.22%,9567,-
184,MSB,Mesabi Trust,232.88M,0.86%,48667,14.46M
185,NMG,Nouveau Monde Graphite Inc.,214.62M,-0.43%,138876,-
186,ODV,Osisko Development Corp.,210.88M,-9.76%,189882,32.55M
187,SLI,Standard Lithium Ltd.,209.45M,1.69%,1543844,-
188,CTGO,"Contango Ore, Inc.",202.85M,12.32%,83276,-
189,CMCL,Caledonia Mining Corporation Plc,202.23M,8.50%,135574,141.83M
190,EMX,EMX Royalty Corporation,189.77M,3.59%,202151,12.48M
191,USAP,"Universal Stainless & Alloy Products, Inc.",187.58M,2.08%,144253,262.36M
192,DC,Dakota Gold Corp.,184.76M,0.47%,1028398,-
193,SMID,Smith-Midland Corporation,183.01M,12.75%,20061,57.68M
194,NEWP,New Pacific Metals Corp.,179.53M,-,208284,-
195,NAK,Northern Dynasty Minerals Ltd.,172.38M,2.23%,1336725,-
196,TSE,Trinseo PLC,167.15M,1.46%,1359924,3.68B
197,GLDG,GoldMining Inc.,159.71M,3.02%,532897,-
198,AMLI,American Lithium Corp.,158.10M,-5.48%,682388,-
199,GEVO,"Gevo, Inc.",157.82M,2.30%,7911372,17.20M
200,CMT,"Core Molding Technologies, Inc.",157.44M,1.10%,107800,357.74M
201,ATLX,Atlas Lithium Corporation,151.79M,1.27%,80376,620.00
202,NWGL,Nature Wood Group Limited,151.60M,-1.94%,1193,55.34M
203,ALTO,"Alto Ingredients, Inc.",148.76M,-1.00%,879208,1.22B
204,THM,International Tower Hill Mines Ltd.,142.35M,-1.69%,122079,-
205,DNMR,"Danimer Scientific, Inc.",141.83M,-1.46%,1220752,51.06M
206,NTIC,Northern Technologies International Corporation,140.41M,-0.71%,8443,80.13M
207,LOOP,"Loop Industries, Inc.",130.23M,-1.82%,8890,119.49K
208,AREC,American Resources Corporation,128.36M,-,174645,21.36M
209,FRD,"Friedman Industries, Incorporated",123.62M,-0.34%,18262,508.21M
210,PLG,Platinum Group Metals Ltd.,116.83M,2.63%,115561,-
211,LGO,Largo Inc.,116.57M,2.75%,16402,202.02M
212,TRX,TRX Gold Corporation,109.30M,-,172093,38.01M
213,ACNT,Ascent Industries Co.,106.82M,1.90%,15394,280.79M
214,ABAT,American Battery Technology Company,104.29M,-7.80%,471590,-
215,IDR,"Idaho Strategic Resources, Inc.",99.28M,4.87%,31817,13.31M
216,VOXR,Vox Royalty Corp.,95.23M,-0.53%,74447,12.31M
217,NB,NioCorp Developments Ltd.,95.05M,-3.69%,51783,-
218,TMQ,Trilogy Metals Inc.,85.36M,-0.64%,384927,-
