,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
83,KB,KB Financial Group Inc.,22.17B,-1.28%,181362,3.19B
84,FCNCA,"First Citizens BancShares, Inc.",22.08B,0.78%,92649,17.41B
85,WRB,W. R. Berkley Corporation,21.87B,0.33%,977213,12.14B
86,STT,State Street Corporation,21.85B,0.89%,1538872,11.95B
87,ERIE,Erie Indemnity Company,21.37B,1.98%,280031,3.27B
88,LPLA,LPL Financial Holdings Inc.,19.76B,1.59%,478727,10.05B
89,MKL,Markel Corporation,19.75B,1.12%,33687,15.80B
90,SHG,"Shinhan Financial Group Co., Ltd.",19.47B,-0.95%,145605,7.06B
91,CBOE,"Cboe Global Markets, Inc.",19.12B,1.23%,1331303,3.77B
92,HBAN,Huntington Bancshares Incorporated,19.01B,1.12%,49444813,6.96B
93,PFG,"Principal Financial Group, Inc.",18.99B,2.53%,6083514,13.67B
94,CINF,Cincinnati Financial Corporation,18.91B,0.08%,5962215,10.01B
95,NMR,"Nomura Holdings, Inc.",18.53B,0.82%,2889837,10.09B
96,FDS,FactSet Research Systems Inc.,18.24B,-0.61%,157447,2.12B
97,SYF,Synchrony Financial,17.68B,-3.40%,3669042,7.66B
98,RF,Regions Financial Corporation,17.36B,0.85%,9258428,7.02B
99,EG,"Everest Group, Ltd.",16.96B,1.17%,671665,14.59B
100,L,Loews Corporation,16.89B,1.26%,918553,15.90B
101,CG,The Carlyle Group Inc.,16.40B,-1.26%,3807727,2.96B
102,NTRS,Northern Trust Corporation,16.37B,1.51%,7481244,6.75B
103,TPG,TPG Inc.,16.18B,-0.56%,1781515,2.39B
104,BAM,Brookfield Asset Management Inc.,16.15B,-0.63%,1088009,4.01B
105,CRBG,"Corebridge Financial, Inc.",15.88B,-0.35%,7717132,18.88B
106,CFG,"Citizens Financial Group, Inc.",15.25B,1.00%,4695882,7.54B
107,RYAN,"Ryan Specialty Holdings, Inc.",14.36B,0.60%,851576,2.08B
108,BEN,"Franklin Resources, Inc.",14.24B,-0.52%,2721385,7.87B
109,XP,XP Inc.,13.79B,0.36%,6330977,3.05B
110,BAP,Credicorp Ltd.,13.64B,0.33%,222884,3.90B
111,FNF,"Fidelity National Financial, Inc.",13.56B,-0.75%,1245353,11.75B
112,KEY,KeyCorp,13.47B,0.42%,12938146,5.89B
113,MORN,"Morningstar, Inc.",13.14B,-1.67%,309626,2.04B
114,RNR,RenaissanceRe Holdings Ltd.,12.53B,-0.18%,286595,9.13B
115,ARCC,Ares Capital Corporation,12.13B,1.00%,3750648,2.61B
116,RGA,"Reinsurance Group of America, Incorporated",12.11B,0.60%,278978,18.57B
117,BCH,Banco de Chile,12.03B,-1.56%,257439,3.21B
118,CNA,CNA Financial Corporation,11.95B,0.43%,221613,13.30B
119,KNSL,"Kinsale Capital Group, Inc.",11.87B,2.02%,110763,1.22B
120,EQH,"Equitable Holdings, Inc.",11.63B,-0.17%,1677495,10.53B
121,ALLY,Ally Financial Inc.,11.51B,0.08%,3847634,8.21B
122,AFG,"American Financial Group, Inc.",11.00B,0.73%,257475,7.83B
123,GL,Globe Life Inc.,10.87B,0.03%,1554209,5.45B
124,UWMC,UWM Holdings Corporation,10.78B,0.45%,796018,1.31B
125,EWBC,"East West Bancorp, Inc.",10.44B,0.83%,8901035,2.48B
126,AEG,Aegon N.V.,10.27B,-0.52%,1890995,-11.08B
127,UNM,Unum Group,9.89B,0.89%,1385249,12.39B
128,BSAC,Banco Santander-Chile,9.66B,-0.74%,354135,2.19B
129,JEF,Jefferies Financial Group Inc.,9.39B,-0.62%,735975,4.70B
130,AIZ,"Assurant, Inc.",9.35B,0.75%,639282,11.13B
131,SEIC,SEI Investments Company,9.08B,-0.68%,832142,1.92B
132,WF,Woori Financial Group Inc.,8.85B,1.25%,30436,8.25B
133,PRI,"Primerica, Inc.",8.56B,0.55%,84003,2.82B
134,HLI,"Houlihan Lokey, Inc.",8.49B,0.15%,231269,1.84B
135,WBS,Webster Financial Corporation,8.26B,-0.15%,724977,2.50B
136,MKTX,MarketAxess Holdings Inc.,8.20B,0.84%,868626,752.55M
137,ORI,Old Republic International Corporation,8.16B,0.51%,1498781,7.26B
138,FHN,First Horizon Corporation,8.15B,-,6490936,3.21B
139,FUTU,Futu Holdings Limited,7.88B,-3.81%,2511155,1.28B
140,CIB,Bancolombia S.A.,7.82B,-0.28%,993058,4.25B
141,SF,Stifel Financial Corp.,7.56B,0.69%,493410,4.35B
142,EVR,Evercore Inc.,7.35B,-0.37%,288125,2.43B
143,VOYA,"Voya Financial, Inc.",7.09B,0.57%,986751,7.35B
144,IVZ,Invesco Ltd.,6.91B,0.26%,2867447,5.72B
145,SOFI,"SoFi Technologies, Inc.",6.89B,-0.28%,51936591,2.12B
146,CFR,Cullen Frost Bankers Inc.,6.79B,0.28%,657473,1.94B
147,CACC,Credit Acceptance Corporation,6.77B,-0.29%,52124,1.90B
148,RLI,RLI Corp.,6.74B,0.58%,121548,1.51B
149,CBSH,"Commerce Bancshares, Inc.",6.62B,-0.10%,1156236,1.54B
150,CMA,Comerica Incorporated,6.53B,0.43%,6722686,3.50B
151,WAL,Western Alliance Bancorporation,6.29B,1.63%,940540,2.56B
152,SIGI,"Selective Insurance Group, Inc.",6.26B,-0.46%,746481,4.23B
153,PNFP,"Pinnacle Financial Partners, Inc.",6.19B,-1.07%,1054515,1.60B
154,SSB,SouthState Corporation,6.10B,-0.34%,437080,1.63B
155,HLNE,Hamilton Lane Incorporated,5.94B,-0.16%,302644,489.97M
156,BPOP,"Popular, Inc.",5.93B,0.29%,3269120,2.57B
157,WTFC,Wintrust Financial Corporation,5.92B,0.76%,889836,2.16B
158,ESNT,Essent Group Ltd.,5.91B,0.02%,560378,1.11B
159,ZION,"Zions Bancorporation,NA",5.91B,-0.03%,20217993,2.98B
160,OBDC,Blue Owl Capital Corporation,5.88B,1.20%,2734719,1.58B
161,OMF,"OneMain Holdings, Inc.",5.79B,-0.02%,926663,2.56B
162,FAF,First American Financial Corporation,5.72B,-0.36%,655624,6.00B
163,SNV,Synovus Financial Corp.,5.71B,-0.58%,1225905,2.03B
164,PB,"Prosperity Bancshares, Inc.",5.67B,0.05%,462136,1.09B
165,MTG,MGIC Investment Corporation,5.66B,-0.05%,2348174,1.16B
166,BOKF,BOK Financial Corporation,5.61B,1.14%,349646,2.02B
167,FCFS,"FirstCash Holdings, Inc",5.34B,0.74%,437066,3.15B
168,AXS,AXIS Capital Holdings Limited,5.32B,0.21%,571740,5.64B
169,AMG,"Affiliated Managers Group, Inc.",5.28B,0.08%,338341,2.06B
170,FSK,FS KKR Capital Corp.,5.14B,0.65%,1841932,1.83B
171,JHG,Janus Henderson Group plc,5.04B,-0.51%,782689,2.10B
172,AGO,Assured Guaranty Ltd.,5.03B,0.14%,1004033,1.37B
173,MARA,"Marathon Digital Holdings, Inc.",4.96B,5.98%,55127705,387.51M
174,CADE,Cadence Bank,4.90B,0.82%,3336310,1.65B
175,ONB,Old National Bancorp,4.85B,1.30%,4246669,1.78B
176,RDN,Radian Group Inc.,4.79B,-0.82%,2006020,1.24B
177,JXN,Jackson Financial Inc.,4.79B,-0.70%,1229281,3.16B
178,FNB,F.N.B. Corporation,4.77B,0.23%,2389529,1.50B
179,OZK,Bank OZK,4.77B,1.12%,2992891,1.79B
180,COOP,Mr. Cooper Group Inc.,4.73B,1.92%,1180161,1.79B
181,FG,"F&G Annuities & Life, Inc.",4.67B,2.75%,117460,4.50B
182,HOMB,"Home Bancshares, Inc. (Conway, AR)",4.66B,0.43%,929046,984.75M
183,BNRE,Brookfield Reinsurance Ltd.,4.65B,-,4753,6.25B
184,ACT,"Enact Holdings, Inc.",4.64B,0.48%,335575,1.15B
185,UBSI,"United Bankshares, Inc.",4.63B,0.93%,2210476,1.02B
186,THG,"The Hanover Insurance Group, Inc.",4.63B,-0.15%,123528,5.99B
187,WU,The Western Union Company,4.62B,1.20%,9037464,4.36B
188,SLM,SLM Corporation,4.59B,-1.49%,11430598,1.46B
189,ESGR,Enstar Group Limited,4.57B,-0.61%,80756,1.43B
190,LNC,Lincoln National Corporation,4.55B,1.04%,1712948,11.65B
191,FRHC,Freedom Holding Corp.,4.45B,0.40%,75786,1.40B
192,WTM,"White Mountains Insurance Group, Ltd.",4.45B,2.83%,12360,2.17B
193,AEL,American Equity Investment Life Holding Company,4.44B,0.02%,581217,2.84B
194,DNB,"Dun & Bradstreet Holdings, Inc.",4.41B,1.49%,1825249,2.31B
195,BNRE.A,Brookfield Reinsurance Ltd,4.40B,2.11%,600,6.25B
196,GGAL,Grupo Financiero Galicia S.A.,4.35B,2.05%,674603,8.95B
197,FFIN,"First Financial Bankshares, Inc.",4.30B,0.76%,1526752,481.18M
198,PFSI,"PennyMac Financial Services, Inc.",4.29B,-0.48%,235822,1.40B
199,GBCI,"Glacier Bancorp, Inc.",4.27B,0.53%,637574,794.97M
200,CRVL,CorVel Corporation,4.24B,-0.21%,83448,773.52M
201,VLY,Valley National Bancorp,3.99B,0.40%,11325886,1.84B
202,MAIN,Main Street Capital Corporation,3.89B,0.83%,401341,500.39M
203,UMBF,UMB Financial Corporation,3.86B,0.19%,592586,1.42B
204,COLB,"Columbia Banking System, Inc.",3.85B,-1.30%,14701450,1.78B
205,PJT,PJT Partners Inc.,3.84B,-0.39%,333642,1.15B
206,AB,AllianceBernstein Holding L.P.,3.82B,-0.24%,241970,299.78M
207,KMPR,Kemper Corporation,3.78B,-0.49%,230772,4.94B
208,STEP,StepStone Group Inc.,3.71B,1.64%,435965,527.20M
209,HWC,Hancock Whitney Corporation,3.65B,0.71%,950479,1.33B
210,MC,Moelis & Company,3.55B,0.85%,769617,854.75M
211,LU,Lufax Holding Ltd,3.52B,2.83%,1861222,5.46B
212,AMTD,AMTD IDEA Group,3.51B,0.59%,20789,235.75M
213,CNS,"Cohen & Steers, Inc.",3.48B,0.20%,403968,489.64M
214,TFSL,TFS Financial Corporation,3.45B,0.41%,470567,301.59M
215,BGC,"BGC Group, Inc",3.39B,-0.59%,66680458,2.03B
216,LAZ,Lazard Ltd,3.39B,0.62%,1297698,2.52B
217,SFBS,"ServisFirst Bancshares, Inc.",3.36B,0.11%,280573,422.64M
218,BMA,Banco Macro S.A.,3.32B,4.62%,264425,2.81B
219,IBOC,International Bancshares Corporation,3.29B,0.87%,1120587,798.87M
220,NNI,"Nelnet, Inc.",3.29B,0.33%,97190,1.15B
221,IFS,Intercorp Financial Services Inc.,3.18B,0.19%,35257,1.15B
222,BUR,Burford Capital Limited,3.15B,0.63%,955252,-
223,ABCB,Ameris Bancorp,3.13B,0.48%,669204,935.22M
224,ASB,Associated Banc-Corp,3.08B,0.85%,1135143,1.02B
225,WD,"Walker & Dunlop, Inc.",3.02B,-0.53%,733557,1.05B
226,QFIN,Qifu Technology Inc.,3.00B,-1.56%,2540596,2.30B
227,NYCB,"New York Community Bancorp, Inc.",3.00B,4.00%,59420280,5.07B
228,VIRT,"Virtu Financial, Inc.",2.99B,1.58%,1152572,2.29B
229,FHI,"Federated Hermes, Inc.",2.99B,0.96%,519313,1.61B
230,UCBI,"United Community Banks, Inc.",2.97B,0.72%,1260557,803.82M
231,BHF,"Brighthouse Financial, Inc.",2.96B,1.04%,607854,4.12B
232,APAM,Artisan Partners Asset Management Inc.,2.95B,0.96%,393093,975.13M
233,PIPR,Piper Sandler Companies,2.93B,-0.12%,82394,1.35B
234,HGTY,"Hagerty, Inc.",2.92B,-2.53%,43882,1.00B
235,CNO,"CNO Financial Group, Inc.",2.87B,0.65%,1673159,4.15B
236,HTGC,"Hercules Capital, Inc.",2.85B,0.39%,721863,460.67M
237,BANF,BancFirst Corporation,2.82B,-0.20%,161042,602.41M
238,CATY,Cathay General Bancorp,2.81B,-0.21%,1606634,784.06M
239,AX,"Axos Financial, Inc.",2.81B,0.10%,487065,1.03B
240,GSHD,"Goosehead Insurance, Inc",2.80B,1.61%,352221,261.28M
241,TCBI,"Texas Capital Bancshares, Inc.",2.76B,1.58%,771956,1.00B
242,GNW,"Genworth Financial, Inc.",2.75B,1.45%,2600588,7.49B
243,AVAL,Grupo Aval Acciones y Valores S.A.,2.75B,-6.11%,739714,2.82B
244,FBP,First BanCorp.,2.74B,0.86%,2021264,868.86M
245,GBDC,"Golub Capital BDC, Inc.",2.70B,0.76%,1141858,630.98M
246,AMK,"AssetMark Financial Holdings, Inc.",2.68B,-0.75%,208190,708.50M
247,FHB,"First Hawaiian, Inc.",2.67B,0.53%,1377415,810.31M
248,INTR,"Inter & Co, Inc.",2.66B,-3.43%,805524,975.89M
249,MCY,Mercury General Corporation,2.63B,2.30%,166864,4.63B
250,FIBK,"First Interstate BancSystem, Inc.",2.60B,0.76%,3865153,993.60M
251,VCTR,"Victory Capital Holdings, Inc.",2.55B,1.24%,637961,821.03M
252,WSFS,WSFS Financial Corporation,2.49B,1.45%,792912,926.90M
253,AUB,Atlantic Union Bankshares Corporation,2.49B,1.66%,279761,670.27M
254,NMIH,"NMI Holdings, Inc.",2.42B,0.37%,945852,579.00M
