,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
72,SAM,"The Boston Beer Company, Inc.",3.59B,0.28%,81037,2.01B
73,SMPL,The Simply Good Foods Company,3.32B,-0.57%,1310281,1.25B
74,NOMD,Nomad Foods Limited,3.21B,0.31%,328150,3.38B
75,NWL,Newell Brands Inc.,3.20B,5.96%,30904805,8.13B
76,GHC,Graham Holdings Company,3.16B,0.15%,14609,4.41B
77,HIMS,"Hims & Hers Health, Inc.",3.07B,1.60%,3860242,872.00M
78,RLX,RLX Technology Inc.,2.98B,-4.62%,12302701,183.64M
79,CALM,"Cal-Maine Foods, Inc.",2.91B,0.02%,1679619,2.67B
80,PRMW,Primo Water Corporation,2.79B,-0.40%,1312511,1.77B
81,HELE,Helen of Troy Limited,2.78B,-0.15%,297682,2.00B
82,JJSF,J&J Snack Foods Corp.,2.75B,0.94%,228979,1.56B
83,LRN,"Stride, Inc.",2.67B,-0.26%,445229,1.94B
84,CENTA,Central Garden & Pet Company,2.65B,-0.90%,622177,3.32B
85,CENT,Central Garden & Pet Company,2.65B,0.86%,344699,3.32B
86,GO,Grocery Outlet Holding Corp.,2.65B,0.45%,2198781,3.97B
87,AKO.B,Embotelladora Andina S.A.,2.59B,0.21%,3237,3.12B
88,SPB,"Spectrum Brands Holdings, Inc.",2.52B,-0.23%,376947,2.90B
89,PSMT,"PriceSmart, Inc.",2.48B,-0.70%,252003,4.52B
90,STRA,"Strategic Education, Inc.",2.48B,0.49%,308440,1.13B
91,TBBB,BBB Foods Inc.,2.44B,-0.23%,119848,1.95B
92,AKO.A,Embotelladora Andina S.A.,2.30B,-0.55%,460,3.12B
93,COUR,"Coursera, Inc.",2.26B,-1.94%,1457125,635.76M
94,TR,"Tootsie Roll Industries, Inc.",2.25B,0.44%,69392,769.37M
95,CCU,Compania Cervecerias Unidas S.A.,2.23B,0.17%,82653,3.19B
96,LAUR,"Laureate Education, Inc.",2.14B,0.88%,1122621,1.48B
97,GOTU,Gaotu Techedu Inc.,2.01B,-0.90%,1880705,417.60M
98,THS,"TreeHouse Foods, Inc.",2.00B,-0.68%,1084432,3.43B
99,DNUT,"Krispy Kreme, Inc.",2.00B,0.08%,1087595,1.69B
100,ATGE,Adtalem Global Education Inc.,1.91B,0.86%,379505,1.50B
101,EPC,Edgewell Personal Care Company,1.84B,0.73%,295833,2.27B
102,MGPI,"MGP Ingredients, Inc.",1.83B,1.08%,205512,836.52M
103,AFYA,Afya Limited,1.82B,6.36%,508424,547.10M
104,ANDE,"The Andersons, Inc.",1.81B,0.24%,816625,14.75B
105,UDMY,"Udemy, Inc.",1.73B,0.27%,1262121,728.94M
106,WMK,"Weis Markets, Inc.",1.73B,1.85%,80504,4.70B
107,VGR,Vector Group Ltd.,1.71B,-0.28%,866644,1.42B
108,CHEF,"The Chefs' Warehouse, Inc.",1.50B,-0.24%,548456,3.43B
109,UTZ,"Utz Brands, Inc.",1.47B,1.45%,917933,1.44B
110,COCO,"The Vita Coco Company, Inc.",1.44B,-0.67%,1690599,493.61M
111,IMKTA,"Ingles Markets, Incorporated",1.40B,1.16%,185913,5.88B
112,UVV,Universal Corporation,1.23B,1.74%,2351543,2.67B
113,JBSS,"Sanfilippo (John B.) & Son, Inc",1.21B,3.33%,266296,998.08M
114,KLG,WK Kellogg Co,1.17B,4.84%,1043412,2.76B
115,PRDO,Perdoceo Education Corporation,1.16B,-0.28%,2700877,710.00M
116,FDP,Fresh Del Monte Produce Inc.,1.16B,2.60%,389354,4.32B
117,DOLE,Dole plc,1.10B,2.07%,402348,8.25B
118,AGRO,Adecoagro S.A.,1.10B,-2.81%,1049962,1.30B
119,NAPA,"The Duckhorn Portfolio, Inc.",1.06B,-1.09%,1129726,396.89M
120,BRCC,BRC Inc.,1.01B,1.30%,1065119,395.62M
121,USNA,"USANA Health Sciences, Inc.",942.78M,2.27%,139394,921.01M
122,VITL,"Vital Farms, Inc.",910.73M,-0.60%,757330,471.86M
123,HLF,Herbalife Nutrition Ltd.,900.08M,-0.67%,1101543,5.06B
124,BGS,"B&G Foods, Inc.",874.30M,-3.33%,1079240,2.06B
125,WEST,"Westrock Coffee Company, LLC",869.94M,-2.83%,337526,877.47M
126,AVO,"Mission Produce, Inc.",834.58M,2.12%,601387,999.10M
127,CHGG,"Chegg, Inc.",810.21M,1.27%,1180516,716.30M
128,STKL,SunOpta Inc.,807.29M,0.14%,632349,630.30M
129,HAIN,"The Hain Celestial Group, Inc.",786.93M,-1.60%,1545635,1.78B
130,UTI,"Universal Technical Institute, Inc.",783.95M,-0.48%,346036,662.10M
131,EWCZ,"European Wax Center, Inc.",746.27M,3.42%,704864,221.02M
132,UNFI,"United Natural Foods, Inc.",690.66M,2.93%,683257,30.25B
133,SPTN,SpartanNash Company,683.87M,1.83%,604039,9.73B
134,NUS,"Nu Skin Enterprises, Inc.",634.07M,3.27%,1010888,1.97B
135,OTLY,Oatly Group AB,605.07M,-2.75%,1969783,783.35M
136,BYND,"Beyond Meat, Inc.",532.29M,3.28%,2597412,343.38M
137,DAO,"Youdao, Inc.",526.67M,-5.19%,140649,760.11M
138,CVGW,"Calavo Growers, Inc.",520.12M,-1.23%,264170,873.35M
139,ISPR,Ispire Technology Inc.,493.40M,13.09%,206474,141.32M
140,TPB,"Turning Point Brands, Inc.",488.19M,-,95941,405.39M
141,VTRU,Vitru Limited,484.79M,2.16%,7850,377.63M
142,LND,BrasilAgro - Companhia Brasileira de Propriedades Agrícolas,473.64M,-0.74%,13783,277.76M
143,SKIN,The Beauty Health Company,471.49M,-5.50%,2895078,397.99M
144,NGVC,"Natural Grocers by Vitamin Cottage, Inc.",408.86M,1.30%,43776,1.16B
145,VLGEA,"Village Super Market, Inc.",407.72M,0.99%,33230,2.20B
146,SENEA,Seneca Foods Corporation,371.31M,3.07%,103038,1.48B
147,NATR,"Nature's Sunshine Products, Inc.",369.23M,2.50%,121232,445.32M
148,SENEB,Seneca Foods Corporation,367.90M,-0.58%,998,1.48B
149,LMNR,Limoneira Company,339.03M,1.86%,116139,181.73M
150,VSTA,Vasta Platform Limited,317.90M,-0.25%,7476,288.01M
151,LINC,Lincoln Educational Services Corporation,311.56M,-0.82%,149368,378.07M
152,DDL,Dingdong (Cayman) Limited,298.53M,0.78%,177028,2.82B
153,AFRI,Forafric Global PLC,278.47M,0.39%,36075,280.40M
154,MYND,Mynd.ai Inc,221.06M,-1.64%,7708,38.46M
155,APEI,"American Public Education, Inc.",219.87M,-1.59%,113342,600.55M
156,ALCO,"Alico, Inc.",206.60M,4.13%,38645,43.24M
157,FREE,"Whole Earth Brands, Inc.",204.86M,-0.21%,373025,550.91M
158,MAMA,"Mama's Creations, Inc.",187.99M,0.60%,156800,99.38M
159,HFFG,HF Foods Group Inc.,181.96M,-0.30%,129614,1.16B
160,LWAY,"Lifeway Foods, Inc.",166.45M,-1.16%,32047,153.87M
161,QSG,QuantaSing Group Ltd,165.50M,2.73%,443313,3.49B
162,STG,Sunlands Technology Group,150.40M,-8.04%,2228,302.12M
163,ACU,Acme United Corporation,142.96M,7.02%,24826,191.50M
164,WILC,G. Willi-Food International Ltd.,138.12M,3.75%,155,141.13M
165,DIT,AMCON Distributing Company,120.59M,0.37%,394,2.62B
166,JZ,Jianzhi Education Technology Group Company Limited,116.87M,1.52%,4018,525.98M
167,BIG,"Big Lots, Inc.",113.65M,0.80%,1301747,4.83B
168,IH,iHuman Inc.,103.11M,1.54%,49626,143.60M
169,FTLF,"FitLife Brands, Inc.",100.51M,-0.68%,1935,44.77M
170,BRID,Bridgford Foods Corporation,97.57M,0.28%,1016,244.86M
171,LFVN,LifeVantage Corporation,88.66M,1.60%,19296,210.95M
172,SKIL,Skillsoft Corp.,87.40M,-11.95%,79785,-
173,AXIL,AXIL Brands Inc.,79.03M,1.61%,6006,27.08M
174,DTCK,Davis Commodities Limited,78.56M,6.25%,30452,206.72M
175,ZVIA,Zevia PBC,76.79M,-,176956,166.42M
176,VFF,"Village Farms International, Inc.",76.07M,6.62%,1208658,285.60M
177,FARM,Farmer Bros. Co.,71.86M,-4.40%,83446,381.07M
178,GROV,"Grove Collaborative Holdings, Inc.",65.54M,10.29%,146412,273.46M
179,BEDU,Bright Scholar Education Holdings Limited,62.72M,0.46%,2171,-
180,ATPC,Agape ATP Corporation,59.37M,-3.77%,7728,1.43M
181,AIU,Meta Data Limited,57.72M,2.68%,10349,32.43M
182,AACG,ATA Creativity Global,50.55M,-0.62%,52015,29.79M
183,GNS,Genius Group Limited,38.71M,5.29%,14746045,22.55M
184,COE,51 Talk Online Education Group,37.14M,-3.96%,2798,24.69M
185,UG,"United-Guardian, Inc.",36.20M,-0.80%,12642,11.04M
186,LXEH,"Lixiang Education Holding Co., Ltd.",36.00M,-0.37%,675055,7.24M
187,NAII,"Natural Alternatives International, Inc.",34.89M,-1.22%,2273,127.76M
188,TWOU,"2U, Inc.",29.53M,3.65%,3577595,945.95M
189,YQ,17 Education & Technology Group Inc.,29.49M,-1.69%,7510,22.44M
190,BTOG,Bit Origin Limited,29.30M,-3.01%,85183,6.26M
191,AAGR,African Agriculture Holdings Inc.,28.35M,-12.45%,580674,1.65M
192,LSF,"Laird Superfood, Inc.",25.70M,34.31%,1903119,34.22M
193,WVVI,"Willamette Valley Vineyards, Inc.",25.54M,-1.38%,5743,39.77M
194,DDC,DDC Enterprise Limited,24.76M,8.33%,20644,28.10M
195,MSS,Maison Solutions Inc.,24.22M,-0.79%,137131,57.34M
196,VWE,"Vintage Wine Estates, Inc.",23.96M,0.10%,188160,268.01M
197,YGF,"YanGuFang International Group Co., Ltd.",23.47M,-,4097,36.08M
198,RMCF,"Rocky Mountain Chocolate Factory, Inc.",23.24M,-2.99%,7430,26.30M
199,FEDU,Four Seasons Education (Cayman) Inc.,23.10M,-8.52%,343,11.33M
200,SBEV,"Splash Beverage Group, Inc.",22.74M,-1.88%,113313,20.95M
201,LOCL,Local Bounti Corporation,22.66M,4.01%,9240,27.33M
202,PLAG,Planet Green Holdings Corp.,20.90M,-3.21%,7260,24.26M
203,SANW,S&W Seed Company,18.28M,7.25%,53153,68.01M
204,SDOT,Sadot Group Inc.,17.68M,-2.85%,264164,708.48M
205,TCTM,TCTM Kids IT Education Inc.,17.14M,5.39%,113855,293.63M
206,MTEX,"Mannatech, Incorporated",16.76M,-,396,133.60M
207,STKH,Steakholder Foods Ltd.,16.32M,1.63%,28772,-
208,RGF,"The Real Good Food Company, Inc.",16.25M,-2.48%,592951,156.38M
209,NCRA,"Nocera, Inc.",15.69M,9.23%,1430,24.07M
210,BRFH,"Barfresh Food Group, Inc.",15.32M,8.18%,4699,7.64M
211,EDTK,Skillful Craftsman Education Technology Limited,14.77M,4.31%,12949,5.52M
212,PAVS,Paranovus Entertainment Technology Ltd.,14.06M,0.81%,2751,51.46M
213,EEIQ,EpicQuest Education Group International Limited,12.77M,-,331,5.71M
214,PETZ,"TDH Holdings, Inc.",12.28M,2.88%,49977,3.20M
215,TKLF,"Yoshitsu Co., Ltd",11.67M,-13.71%,497402,166.27M
216,VINE,"Fresh Vine Wine, Inc.",10.70M,7.46%,17565,1.83M
