,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
84,BATRA,Atlanta Braves Holdings Inc,2.38B,0.47%,46119,640.67M
85,BATRK,Atlanta Braves Holdings Inc,2.38B,0.50%,220502,640.67M
86,CMPR,Cimpress plc,2.34B,-0.16%,195134,3.21B
87,CNK,"Cinemark Holdings, Inc.",2.29B,-2.71%,1903586,3.07B
88,LGF.A,Lions Gate Entertainment Corp.,2.15B,-0.10%,734294,3.98B
89,GETY,"Getty Images Holdings, Inc.",2.08B,0.39%,809418,922.08M
90,WLY,"John Wiley & Sons, Inc.",2.03B,0.78%,364315,1.93B
91,BOWL,Bowlero Corp.,2.00B,-3.44%,872235,1.09B
92,YY,JOYY Inc.,1.96B,1.22%,1134630,2.30B
93,CRTO,Criteo S.A.,1.93B,-0.43%,285099,1.95B
94,MSGE,Madison Square Garden Entertainment Corp.,1.81B,-1.14%,303886,894.04M
95,VEON,VEON Ltd.,1.79B,-1.35%,69644,1.72B
96,TDS,"Telephone and Data Systems, Inc.",1.77B,-1.53%,708825,5.16B
97,SSTK,"Shutterstock, Inc.",1.75B,-1.14%,447044,874.59M
98,SPHR,Sphere Entertainment Co.,1.71B,-0.84%,312430,229.80M
99,TV,"Grupo Televisa, S.A.B.",1.68B,-1.73%,683450,3.88B
100,LUMN,"Lumen Technologies, Inc.",1.60B,-0.63%,15178966,14.56B
101,MGNI,"Magnite, Inc.",1.58B,0.62%,1256072,619.71M
102,STGW,Stagwell Inc.,1.57B,-1.03%,802739,2.53B
103,IAS,Integral Ad Science Holding Corp.,1.53B,-2.40%,3284554,474.37M
104,OPRA,Opera Limited,1.39B,-3.16%,1061022,396.83M
105,MAX,"MediaAlpha, Inc.",1.30B,0.81%,342897,388.15M
106,ADV,Advantage Solutions Inc.,1.30B,4.94%,1031658,4.22B
107,LILAK,Liberty Latin America Ltd.,1.28B,-1.10%,5335236,4.51B
108,ANGI,Angi Inc.,1.27B,1.19%,511561,1.36B
109,SEAT,Vivid Seats Inc.,1.24B,-1.35%,6624951,712.88M
110,TBLA,Taboola.com Ltd.,1.24B,-1.43%,1574609,1.44B
111,GENI,Genius Sports Limited,1.22B,-0.51%,1299259,412.98M
112,ATUS,"Altice USA, Inc.",1.19B,1.91%,1996016,9.24B
113,GOGO,Gogo Inc.,1.16B,-2.66%,1192838,397.58M
114,MOMO,Hello Group Inc.,1.13B,0.17%,5568786,1.68B
115,AMC,"AMC Entertainment Holdings, Inc.",1.12B,3.98%,11072540,4.81B
116,SCHL,Scholastic Corporation,1.09B,1.15%,1807530,1.64B
117,HUYA,HUYA Inc.,1.08B,-1.77%,982239,1.03B
