,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
86,PAGP,"Plains GP Holdings, L.P.",4.03B,1.16%,1102300,48.71B
87,HP,"Helmerich & Payne, Inc.",4.02B,0.05%,1058781,2.83B
88,NXE,NexGen Energy Ltd.,3.91B,3.48%,9053348,-
89,STNG,Scorpio Tankers Inc.,3.85B,-0.75%,950525,1.34B
90,NOG,"Northern Oil and Gas, Inc.",3.78B,1.17%,993004,2.17B
91,ERF,Enerplus Corporation,3.76B,0.83%,1693899,1.69B
92,VIST,"Vista Energy, SAB de CV",3.75B,3.61%,594948,1.17B
93,CRC,California Resources Corporation,3.74B,-0.07%,1484777,2.80B
94,EURN,Euronav NV,3.63B,-8.01%,2940964,1.63B
95,CVI,"CVR Energy, Inc.",3.60B,4.30%,884949,9.25B
96,SDRL,Seadrill Limited,3.48B,0.41%,801871,1.50B
97,LBRT,Liberty Energy Inc.,3.35B,1.34%,3549252,4.75B
98,CNX,CNX Resources Corporation,3.29B,-0.97%,4542458,3.43B
99,BSM,"Black Stone Minerals, L.P.",3.25B,0.39%,456701,592.22M
100,TRMD,TORM plc,3.19B,-1.51%,545671,1.52B
101,BTU,Peabody Energy Corporation,3.17B,-3.80%,11369293,4.95B
102,WHD,"Cactus, Inc.",3.16B,-1.10%,735972,1.10B
103,NS,NuStar Energy L.P.,2.97B,1.43%,332120,1.63B
104,AROC,"Archrock, Inc.",2.92B,0.16%,1010881,990.34M
105,ARCH,"Arch Resources, Inc.",2.91B,-0.64%,998013,3.15B
106,USAC,"USA Compression Partners, LP",2.86B,1.06%,479423,846.18M
107,KOS,Kosmos Energy Ltd.,2.74B,-1.89%,5277418,1.70B
108,GPOR,Gulfport Energy Corporation,2.73B,1.60%,257590,1.05B
109,BTE,Baytex Energy Corp.,2.71B,1.21%,8139763,2.04B
110,UEC,Uranium Energy Corp.,2.57B,-1.41%,12155532,59.39M
111,INSW,"International Seaways, Inc.",2.57B,-0.89%,438110,1.07B
112,ARLP,"Alliance Resource Partners, L.P.",2.48B,0.56%,420197,2.57B
113,GLNG,Golar LNG Limited,2.47B,-0.42%,2129842,267.74M
