,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
61,JBHT,"J.B. Hunt Transport Services, Inc.",20.48B,-2.17%,867564,12.83B
62,VLTO,Veralto Corporation,18.96B,-1.96%,4762070,5.02B
63,BAH,Booz Allen Hamilton Holding Corporation,18.84B,-0.26%,239814,10.32B
64,J,Jacobs Engineering Group Inc.,18.78B,-0.24%,474202,16.71B
65,IEX,IDEX Corporation,18.26B,-0.57%,497969,3.27B
66,TXT,Textron Inc.,17.75B,0.72%,931273,13.68B
67,ZTO,ZTO Express (Cayman) Inc.,17.73B,1.07%,3482161,5.18B
68,AVY,Avery Dennison Corporation,17.39B,-0.13%,559970,8.36B
69,CSL,Carlisle Companies Incorporated,17.35B,2.22%,839069,4.59B
70,EXPD,"Expeditors International of Washington, Inc.",17.11B,0.82%,1068401,9.30B
71,AER,AerCap Holdings N.V.,17.10B,1.66%,2374446,7.58B
72,LUV,Southwest Airlines Co.,16.77B,0.85%,7468881,26.09B
73,LII,Lennox International Inc.,16.63B,0.57%,150495,4.98B
74,MAS,Masco Corporation,16.25B,0.32%,2509750,7.97B
75,GGG,Graco Inc.,15.75B,-0.02%,695779,2.20B
76,SAIA,"Saia, Inc.",15.65B,-1.80%,365128,2.88B
77,WSO,"Watsco, Inc.",15.65B,1.78%,500883,7.28B
78,CNHI,CNH Industrial N.V.,15.63B,-0.80%,6968429,24.69B
79,RTO,Rentokil Initial plc,15.55B,-1.04%,634147,6.80B
80,POOL,Pool Corporation,15.55B,1.00%,361477,5.54B
81,EME,"EMCOR Group, Inc.",15.38B,0.54%,372893,12.58B
82,SNA,Snap-on Incorporated,15.37B,-0.57%,514656,5.11B
83,WSO.B,"Watsco, Inc.",15.20B,-4.71%,3,7.28B
84,NDSN,Nordson Corporation,15.11B,-0.37%,449194,2.65B
85,TRU,TransUnion,15.03B,-1.05%,1451542,3.83B
86,XPO,"XPO Logistics, Inc.",14.33B,-0.62%,685197,7.74B
87,UAL,"United Airlines Holdings, Inc.",14.06B,1.80%,8751957,53.72B
88,LECO,"Lincoln Electric Holdings, Inc.",14.02B,0.66%,611365,4.19B
89,RBA,RB Global Inc,13.95B,-0.80%,696518,3.68B
90,OC,Owens Corning,13.83B,1.43%,548667,9.68B
91,SWK,"Stanley Black & Decker, Inc.",13.78B,-1.61%,1371794,15.78B
92,PNR,Pentair plc,13.33B,0.02%,784382,4.10B
93,BLD,TopBuild Corp.,13.03B,0.21%,588443,5.19B
94,TFII,TFI International Inc.,12.95B,-0.03%,191961,7.52B
95,UHAL.B,U-Haul Holding Company,12.84B,-0.60%,673437,5.72B
96,UHAL,U-Haul Holding Company,12.81B,-0.93%,54177,5.72B
97,AOS,A. O. Smith Corporation,12.74B,0.54%,2007205,3.85B
98,GFL,GFL Environmental Inc.,12.68B,-1.08%,1309224,5.65B
99,WMS,"Advanced Drainage Systems, Inc.",12.60B,0.60%,264257,2.84B
100,ACM,AECOM,12.40B,0.80%,1732083,14.90B
101,NVT,nVent Electric plc,11.60B,-0.46%,713998,3.26B
102,RRX,Regal Rexnord Corporation,11.37B,0.95%,242916,6.25B
103,HII,"Huntington Ingalls Industries, Inc.",11.36B,0.75%,246839,11.45B
104,ALLE,Allegion plc,11.33B,0.25%,501318,3.65B
105,FIX,"Comfort Systems USA, Inc.",10.79B,2.03%,361136,5.21B
106,ITT,ITT Inc.,10.42B,0.08%,158049,3.28B
107,TREX,"Trex Company, Inc.",10.30B,-0.46%,502723,1.09B
108,CLH,"Clean Harbors, Inc.",10.17B,-0.38%,547514,5.41B
109,FBIN,"Fortune Brands Innovations, Inc.",10.06B,1.15%,809055,4.63B
110,CNM,"Core & Main, Inc.",9.91B,1.27%,6577982,6.64B
111,STN,Stantec Inc.,9.73B,-0.08%,93634,3.81B
112,TTEK,"Tetra Tech, Inc.",9.60B,-0.55%,569568,4.86B
113,APG,APi Group Corporation,9.41B,0.50%,1184129,6.93B
114,TTC,The Toro Company,9.23B,1.48%,617691,4.41B
115,CW,Curtiss-Wright Corporation,9.21B,0.79%,532942,2.85B
116,AAL,American Airlines Group Inc.,9.16B,-0.21%,20688564,52.79B
117,ASR,"Grupo Aeroportuario del Sureste, S. A. B. de C. V.",9.16B,-0.97%,30833,1.30B
118,BWXT,"BWX Technologies, Inc.",9.05B,0.10%,677984,2.50B
119,ESLT,Elbit Systems Ltd.,8.99B,0.68%,43144,5.86B
120,KNX,Knight-Swift Transportation Holdings Inc.,8.82B,-0.92%,1099050,7.14B
121,CHRW,"C.H. Robinson Worldwide, Inc.",8.76B,-1.28%,9428475,17.60B
122,WWD,"Woodward, Inc.",8.75B,2.05%,780305,3.08B
123,DCI,"Donaldson Company, Inc.",8.73B,1.71%,490168,3.48B
124,BZ,Kanzhun Limited,8.66B,-1.99%,4885468,839.50M
125,AGCO,AGCO Corporation,8.65B,0.38%,522938,14.41B
126,PSN,Parsons Corporation,8.61B,0.21%,411339,5.44B
127,WSC,WillScot Mobile Mini Holdings Corp.,8.58B,1.17%,1802200,2.36B
128,SSD,"Simpson Manufacturing Co., Inc.",8.35B,0.30%,209010,2.21B
129,ARMK,Aramark,8.34B,-2.08%,1649005,18.66B
130,RHI,Robert Half International Inc.,8.29B,0.11%,843946,6.39B
131,MIDD,The Middleby Corporation,8.23B,-0.07%,565788,4.04B
132,KBR,"KBR, Inc.",8.19B,-0.59%,912395,6.96B
133,WCC,"WESCO International, Inc.",8.13B,0.38%,399468,22.39B
134,AYI,"Acuity Brands, Inc.",7.91B,0.72%,162729,3.89B
135,RBC,RBC Bearings Incorporated,7.75B,0.88%,113301,1.54B
136,SITE,"SiteOne Landscape Supply, Inc.",7.63B,0.83%,284366,4.30B
137,PAC,"Grupo Aeroportuario del Pacífico, SAB de CV",7.52B,-0.03%,72873,1.41B
138,OSK,Oshkosh Corporation,7.52B,0.47%,434949,9.66B
139,IEP,Icahn Enterprises L.P.,7.44B,0.75%,715660,10.85B
140,MSA,MSA Safety Incorporated,7.35B,-0.31%,128242,1.79B
141,FCN,"FTI Consulting, Inc.",7.25B,0.79%,180592,3.49B
142,AIT,"Applied Industrial Technologies, Inc.",7.23B,1.30%,555861,4.46B
143,AZEK,The AZEK Company Inc.,6.99B,-0.77%,1556775,1.39B
144,IBP,"Installed Building Products, Inc.",6.80B,-0.21%,234485,2.78B
145,GNRC,Generac Holdings Inc.,6.79B,-0.76%,681701,4.02B
146,WTS,"Watts Water Technologies, Inc.",6.74B,0.82%,352766,2.06B
147,MTZ,"MasTec, Inc.",6.69B,0.06%,604145,12.00B
148,LSTR,"Landstar System, Inc.",6.65B,0.06%,754771,5.30B
149,AAON,"AAON, Inc.",6.63B,1.51%,876757,1.17B
150,FLR,Fluor Corporation,6.55B,0.52%,1557285,15.47B
151,ATKR,Atkore Inc.,6.47B,2.90%,703543,3.48B
152,CR,Crane Company,6.42B,0.02%,185258,2.42B
153,TNET,"TriNet Group, Inc.",6.36B,-0.36%,144716,4.92B
154,CAE,CAE Inc.,6.31B,0.86%,380457,3.38B
155,ADT,ADT Inc.,6.24B,-7.53%,19828243,4.98B
156,ATI,ATI Inc.,6.17B,2.32%,963555,4.17B
157,GTLS,"Chart Industries, Inc.",6.09B,-0.87%,294503,3.35B
158,TKR,The Timken Company,6.04B,-0.30%,403202,4.77B
159,HXL,Hexcel Corporation,6.02B,-0.46%,554580,1.79B
160,GXO,"GXO Logistics, Inc.",5.98B,-1.38%,997485,9.78B
161,ESAB,ESAB Corporation,5.97B,0.55%,347345,2.77B
162,MLI,"Mueller Industries, Inc.",5.85B,1.85%,630075,3.42B
163,FLS,Flowserve Corporation,5.83B,0.20%,734222,4.32B
164,FTAI,FTAI Aviation Ltd,5.76B,4.56%,1745331,1.17B
165,DRS,"Leonardo DRS, Inc.",5.64B,-,1780751,2.83B
166,BECN,"Beacon Roofing Supply, Inc.",5.52B,2.18%,800045,9.12B
167,LPX,Louisiana-Pacific Corporation,5.51B,2.76%,1402826,2.58B
168,CWST,"Casella Waste Systems, Inc.",5.48B,1.67%,406938,1.26B
169,MSM,"MSC Industrial Direct Co., Inc.",5.45B,-0.24%,376729,4.01B
170,ZWS,Zurn Elkay Water Solutions Corporation,5.39B,0.51%,1071159,1.53B
171,SPXC,"SPX Technologies, Inc.",5.37B,0.46%,231711,1.74B
172,AWI,"Armstrong World Industries, Inc.",5.32B,0.69%,329279,1.30B
173,KEX,Kirby Corporation,5.17B,0.07%,258547,3.09B
174,AL,Air Lease Corporation,5.15B,1.60%,19432500,2.68B
175,MMS,"Maximus, Inc.",5.06B,-0.65%,679216,4.98B
176,R,"Ryder System, Inc.",5.00B,-0.58%,228223,11.78B
177,MOG.A,Moog Inc.,4.94B,0.70%,125444,3.42B
178,MOG.B,Moog Inc.,4.91B,7.90%,55,3.42B
179,SRCL,"Stericycle, Inc.",4.81B,0.58%,817045,2.66B
180,ALK,"Alaska Air Group, Inc.",4.81B,0.05%,2720088,10.43B
181,FSS,Federal Signal Corporation,4.75B,0.60%,280557,1.72B
182,GATX,GATX Corporation,4.65B,0.11%,160663,1.41B
183,FELE,"Franklin Electric Co., Inc.",4.65B,0.85%,297746,2.07B
184,MDU,"MDU Resources Group, Inc.",4.62B,-0.84%,1185276,4.66B
185,GTES,Gates Industrial Corporation plc,4.45B,-0.06%,3808671,3.57B
186,AVAV,"AeroVironment, Inc.",4.45B,-6.01%,1172371,705.78M
187,HRI,Herc Holdings Inc.,4.45B,0.18%,121715,3.28B
188,CPA,"Copa Holdings, S.A.",4.42B,-0.51%,105399,2.97B
189,VMI,"Valmont Industries, Inc.",4.29B,1.19%,210720,4.17B
190,ERJ,Embraer S.A.,4.25B,-0.64%,2476754,4.54B
191,DY,"Dycom Industries, Inc.",4.07B,2.15%,276598,4.18B
192,SNDR,"Schneider National, Inc.",3.96B,1.85%,1456360,5.50B
193,ACA,"Arcosa, Inc.",3.93B,0.88%,200245,2.31B
194,EXPO,"Exponent, Inc.",3.92B,2.08%,710063,536.77M
195,TEX,Terex Corporation,3.91B,1.23%,504825,5.15B
196,VRRM,Verra Mobility Corporation,3.87B,1.07%,2219370,817.31M
197,CAR,"Avis Budget Group, Inc.",3.82B,0.14%,576040,12.01B
198,CAAP,Corporación América Airports S.A.,3.81B,-0.54%,151655,1.65B
199,CBZ,"CBIZ, Inc.",3.73B,0.82%,872283,1.59B
200,BCO,The Brink's Company,3.73B,0.66%,178289,4.87B
201,KAI,Kadant Inc.,3.71B,0.31%,99349,957.67M
202,OMAB,"Grupo Aeroportuario del Centro Norte, SAB de CV",3.70B,1.04%,84058,612.67M
203,GMS,GMS Inc.,3.70B,1.85%,512989,5.39B
204,MATX,"Matson, Inc.",3.68B,-0.23%,241713,3.09B
205,ENS,EnerSys,3.67B,0.46%,177260,3.66B
206,NSP,"Insperity, Inc.",3.66B,0.13%,405486,6.49B
207,ATS,ATS Corporation,3.63B,-1.16%,42509,2.19B
208,AEIS,"Advanced Energy Industries, Inc.",3.61B,-1.11%,888112,1.66B
209,SPR,"Spirit AeroSystems Holdings, Inc.",3.59B,4.30%,2882578,6.05B
210,JOBY,"Joby Aviation, Inc.",3.59B,-0.59%,5909825,1.23M
211,CSWI,"CSW Industrials, Inc.",3.58B,-0.42%,173164,777.67M
212,MAN,ManpowerGroup Inc.,3.50B,0.68%,233072,18.91B
213,WIRE,Encore Wire Corporation,3.50B,1.70%,492983,2.57B
214,GFF,Griffon Corporation,3.47B,0.47%,459621,2.68B
215,CXT,"Crane NXT, Co.",3.41B,1.44%,460335,1.39B
